Datetime,TOU
6/1/2018 0:00,0.093
6/1/2018 0:05,0.093
6/1/2018 0:10,0.093
6/1/2018 0:15,0.093
6/1/2018 0:20,0.093
6/1/2018 0:25,0.093
6/1/2018 0:30,0.093
6/1/2018 0:35,0.093
6/1/2018 0:40,0.093
6/1/2018 0:45,0.093
6/1/2018 0:50,0.093
6/1/2018 0:55,0.093
6/1/2018 1:00,0.093
6/1/2018 1:05,0.093
6/1/2018 1:10,0.093
6/1/2018 1:15,0.093
6/1/2018 1:20,0.093
6/1/2018 1:25,0.093
6/1/2018 1:30,0.093
6/1/2018 1:35,0.093
6/1/2018 1:40,0.093
6/1/2018 1:45,0.093
6/1/2018 1:50,0.093
6/1/2018 1:55,0.093
6/1/2018 2:00,0.093
6/1/2018 2:05,0.093
6/1/2018 2:10,0.093
6/1/2018 2:15,0.093
6/1/2018 2:20,0.093
6/1/2018 2:25,0.093
6/1/2018 2:30,0.093
6/1/2018 2:35,0.093
6/1/2018 2:40,0.093
6/1/2018 2:45,0.093
6/1/2018 2:50,0.093
6/1/2018 2:55,0.093
6/1/2018 3:00,0.093
6/1/2018 3:05,0.093
6/1/2018 3:10,0.093
6/1/2018 3:15,0.093
6/1/2018 3:20,0.093
6/1/2018 3:25,0.093
6/1/2018 3:30,0.093
6/1/2018 3:35,0.093
6/1/2018 3:40,0.093
6/1/2018 3:45,0.093
6/1/2018 3:50,0.093
6/1/2018 3:55,0.093
6/1/2018 4:00,0.093
6/1/2018 4:05,0.093
6/1/2018 4:10,0.093
6/1/2018 4:15,0.093
6/1/2018 4:20,0.093
6/1/2018 4:25,0.093
6/1/2018 4:30,0.093
6/1/2018 4:35,0.093
6/1/2018 4:40,0.093
6/1/2018 4:45,0.093
6/1/2018 4:50,0.093
6/1/2018 4:55,0.093
6/1/2018 5:00,0.093
6/1/2018 5:05,0.093
6/1/2018 5:10,0.093
6/1/2018 5:15,0.093
6/1/2018 5:20,0.093
6/1/2018 5:25,0.093
6/1/2018 5:30,0.093
6/1/2018 5:35,0.093
6/1/2018 5:40,0.093
6/1/2018 5:45,0.093
6/1/2018 5:50,0.093
